SAMPLENAME	index	index_type
M13U036_0hm_2023721_CD34p_IP_IVD_day12_CD222_sampled_AG_8963_50_S50_L001_R1_001.fastq	3664	unique barcodes
M13U036_0hm_2023721_CD34p_IP_IVD_day12_CD225_sampled_CD225_54_S54_L002_R1_001.fastq	4110	unique barcodes
M13U036_0hm_2023721_CD34p_Lib19_only_IVD_day12_CD222_sampled_AG_8963_47_S47_L001_R1_001.fastq	3836	unique barcodes
M13U036_0hm_2023721_CD34p_Lib21_ABE_IVD_day12_CD222_sampled_AG_8963_49_S49_L001_R1_001.fastq	457	unique barcodes
M13U036_0hm_2023721_CD34p_Lib21_only_IVD_day12_CD222_sampled_AG_8963_48_S48_L001_R1_001.fastq	319	unique barcodes
M13U036_0hm_2023721_CD34p_lib19_only_IVD_day12_CD225_sampled_CD225_51_S51_L002_R1_001.fastq	4264	unique barcodes
M13U036_0hm_2023721_CD34p_lib21_ABE_IVD_day12_CD225_sampled_CD225_53_S53_L002_R1_001.fastq	744	unique barcodes
M13U036_0hm_2023721_CD34p_lib21_only_IVD_day12_CD225_sampled_CD225_52_S52_L002_R1_001.fastq	1005	unique barcodes
M13U036_0hm_2023810_PBGr_InVivo_21day_CD222_sampled_AG_8963_65_S65_L001_R1_001.fastq	7047	unique barcodes
M13U036_0hm_202383_PBGr_InVivo_14day_CD222_sampled_AG_8963_52_S52_L001_R1_001.fastq	5029	unique barcodes
M13U036_0m_2023713_CD34p_IP_IVD_day4_CD225_sampled_CD225_50_S50_L002_R1_001.fastq	156	unique barcodes
M13U036_0m_2023713_CD34p_lib21_ABE_IVD_day4_CD225_sampled_CD225_49_S49_L002_R1_001.fastq	5	unique barcodes
M13U036_0m_2023727_PBGr_InVivo_7day_CD222_sampled_AG_8963_51_S51_L001_R1_001.fastq	650	unique barcodes
M13U036_0m_202379_CD34p_IP_IVD_day0_CD222_sampled_AG_8963_42_S42_L001_R1_001.fastq	596	unique barcodes
M13U036_0m_202379_CD34p_Lib19_only_IVD_day0_CD222_sampled_AG_8963_39_S39_L001_R1_001.fastq	2740	unique barcodes
M13U036_0m_202379_CD34p_Lib21_ABE_IVD_day0_CD222_sampled_AG_8963_41_S41_L001_R1_001.fastq	2	unique barcodes
M13U036_0m_202379_CD34p_Lib21_only_IVD_day0_CD222_sampled_AG_8963_40_S40_L001_R1_001.fastq	3	unique barcodes
M13U036_10hm_2024523_PBGr_InVivo_NA_CD226_sampled_CD226_101_S101_L002_R1_001.fastq	2019	unique barcodes
M13U036_10hm_2024524_GFPpCD33n_InVivo_NA_CD226_sampled_CD226_103_S103_L002_R1_001.fastq	223	unique barcodes
M13U036_10hm_2024524_GFPpCD33p_InVivo_NA_CD226_sampled_CD226_102_S102_L002_R1_001.fastq	962	unique barcodes
M13U036_10hm_2024620_B_PB__CD227_sampled_CD227_43_S59_L002_R1_001.fastq	5688	unique barcodes
M13U036_10hm_2024620_CD16_PB__CD227_sampled_CD227_45_S61_L002_R1_001.fastq	2641	unique barcodes
M13U036_10hm_2024620_DN_PB__CD227_sampled_CD227_47_S63_L002_R1_001.fastq	1981	unique barcodes
M13U036_10hm_2024620_Mono_PB__CD227_sampled_CD227_44_S60_L002_R1_001.fastq	1674	unique barcodes
M13U036_10hm_2024620_NKG2A_PB__CD227_sampled_CD227_46_S62_L002_R1_001.fastq	1682	unique barcodes
M13U036_10hm_2024620_T_PB__CD227_sampled_CD227_42_S58_L002_R1_001.fastq	2444	unique barcodes
M13U036_14m_202499_B_PB__CD227_sampled_CD227_25_S41_L002_R1_001.fastq	3986	unique barcodes
M13U036_14m_202499_CD16_PB__CD227_sampled_CD227_27_S43_L002_R1_001.fastq	784	unique barcodes
M13U036_14m_202499_DN_PB__CD227_sampled_CD227_29_S45_L002_R1_001.fastq	368	unique barcodes
M13U036_14m_202499_GFPnCD33int_PB__CD227_sampled_CD227_55_S71_L002_R1_001.fastq	2281	unique barcodes
M13U036_14m_202499_GFPnCD33n_PB__CD227_sampled_CD227_56_S72_L002_R1_001.fastq	3017	unique barcodes
M13U036_14m_202499_GFPnCD33p_PB__CD227_sampled_CD227_54_S70_L002_R1_001.fastq	2705	unique barcodes
M13U036_14m_202499_GFPpCD33int_PB__CD227_sampled_CD227_52_S68_L002_R1_001.fastq	2514	unique barcodes
M13U036_14m_202499_GFPpCD33n_PB__CD227_sampled_CD227_53_S69_L002_R1_001.fastq	2115	unique barcodes
M13U036_14m_202499_GFPpCD33p_PB__CD227_sampled_CD227_51_S67_L002_R1_001.fastq	1905	unique barcodes
