SAMPLENAME	index	index_type
M13U052_0hm_2023815_CD34p_IP_IVD_day12_CD222_sampled_AG_8963_72_S72_L001_R1_001.fastq	5416	unique barcodes
M13U052_0hm_2023815_CD34p_Lib19_only_IVD_day12_CD222_sampled_AG_8963_69_S69_L001_R1_001.fastq	6057	unique barcodes
M13U052_0hm_2023815_CD34p_Lib21_ABE_IVD_day12_CD222_sampled_AG_8963_71_S71_L001_R1_001.fastq	34	unique barcodes
M13U052_0hm_2023815_CD34p_Lib21_only_IVD_day12_CD222_sampled_AG_8963_70_S70_L001_R1_001.fastq	34	unique barcodes
M13U052_0hm_2023824_PBGr_InVivo_12day_CD224_sampled_CD224_26_S112_L002_R1_001.fastq	769	unique barcodes
M13U052_0hm_202397_PBGr_InVivo_3wk_CD224_sampled_CD224_20_S106_L002_R1_001.fastq	628	unique barcodes
M13U052_0m_2023817_PBGr_InVivo_1wk_CD224_sampled_CD224_25_S111_L002_R1_001.fastq	267	unique barcodes
M13U052_0m_202384_CD34p_IP_IVD_day0_CD222_sampled_AG_8963_56_S56_L001_R1_001.fastq	546	unique barcodes
M13U052_0m_202384_CD34p_Lib19_only_IVD_day0_CD222_sampled_AG_8963_53_S53_L001_R1_001.fastq	4025	unique barcodes
M13U052_0m_202384_CD34p_Lib21_ABE_IVD_day0_CD222_sampled_AG_8963_55_S55_L001_R1_001.fastq	1	unique barcodes
M13U052_0m_202384_CD34p_Lib21_only_IVD_day0_CD222_sampled_AG_8963_54_S54_L001_R1_001.fastq	2	unique barcodes
M13U052_0m_202388_CD34p_IP_IVD_day4_CD222_sampled_AG_8963_60_S60_L001_R1_001.fastq	4526	unique barcodes
M13U052_0m_202388_CD34p_Lib19_only_IVD_day4_CD222_sampled_AG_8963_57_S57_L001_R1_001.fastq	9836	unique barcodes
M13U052_0m_202388_CD34p_Lib21_ABE_IVD_day4_CD222_sampled_AG_8963_59_S59_L001_R1_001.fastq	38	unique barcodes
M13U052_0m_202388_CD34p_Lib21_only_IVD_day4_CD222_sampled_AG_8963_58_S58_L001_R1_001.fastq	7	unique barcodes
M13U052_18m_2024226_CD33int_PB__CD227_sampled_CD227_59_S75_L002_R1_001.fastq	2311	unique barcodes
M13U052_18m_2024226_CD33n_PB__CD227_sampled_CD227_60_S76_L002_R1_001.fastq	1831	unique barcodes
M13U052_18m_2024226_CD33p_PB__CD227_sampled_CD227_58_S74_L002_R1_001.fastq	1884	unique barcodes
M13U052_18m_2024226_Grans_PB__CD227_sampled_CD227_57_S73_L002_R1_001.fastq	2152	unique barcodes
M13U052_1hm_2023928_PBGr_inVivo_6wk_CD225_sampled_CD225_8_S8_L002_R1_001.fastq	166	unique barcodes
M13U052_1m_2023914_PBGr_InVivo_NA_CD224_sampled_CD224_21_S107_L002_R1_001.fastq	207	unique barcodes
M13U052_1m_2023921_PBGr_InVivo_5wk_CD224_sampled_CD224_7_S93_L002_R1_001.fastq	5	unique barcodes
M13U052_2hm_20231026_PBGr_inVivo_10wk_CD225_sampled_CD225_10_S10_L002_R1_001.fastq	1640	unique barcodes
M13U052_2m_20231012_PBGr_inVivo_8wk_CD225_sampled_CD225_9_S9_L002_R1_001.fastq	41	unique barcodes
M13U052_3hm_20231120_PBGr_inVivo_14wk_CD225_sampled_CD225_12_S12_L002_R1_001.fastq	33	unique barcodes
M13U052_3m_2023118_PBGr_inVivo_12wk_CD225_sampled_CD225_11_S11_L002_R1_001.fastq	35	unique barcodes
M13U052_4m_20231214_PBGr_inVivo_16wk_CD225_sampled_CD225_13_S13_L002_R1_001.fastq	48	unique barcodes
M13U052_5hm_202421_CD33n_InVivo_NA_CD226_sampled_CD226_59_S59_L002_R1_001.fastq	2187	unique barcodes
M13U052_5hm_202421_CD33p_InVivo_NA_CD226_sampled_CD226_58_S58_L002_R1_001.fastq	298	unique barcodes
M13U052_5hm_202421_PBGr_InVivo_NA_CD226_sampled_CD226_72_S72_L002_R1_001.fastq	56	unique barcodes
M13U052_6hm_2024226_GFPpCD33n_InVivo_NA_CD226_sampled_CD226_61_S61_L002_R1_001.fastq	6	unique barcodes
M13U052_6hm_2024226_GFPpCD33p_InVivo_NA_CD226_sampled_CD226_60_S60_L002_R1_001.fastq	1	unique barcodes
M13U052_6hm_2024226_PBGr_InVivo_NA_CD226_sampled_CD226_73_S73_L002_R1_001.fastq	51	unique barcodes
M13U052_7hm_2024319_CD33n_InVivo_NA_CD226_sampled_CD226_63_S63_L002_R1_001.fastq	97	unique barcodes
M13U052_7hm_2024319_CD33p_InVivo_NA_CD226_sampled_CD226_62_S62_L002_R1_001.fastq	1	unique barcodes
M13U052_7hm_2024319_PBGr_InVivo_NA_CD226_sampled_CD226_74_S74_L002_R1_001.fastq	15	unique barcodes
M13U052_8hm_2024424_CD33n_InVivo_NA_CD226_sampled_CD226_65_S65_L002_R1_001.fastq	603	unique barcodes
M13U052_8hm_2024424_CD33p_InVivo_NA_CD226_sampled_CD226_64_S64_L002_R1_001.fastq	367	unique barcodes
M13U052_8hm_2024424_PBGr_InVivo_NA_CD226_sampled_CD226_75_S75_L002_R1_001.fastq	15	unique barcodes
M13U052_9hm_2024523_PBGr_InVivo_NA_CD226_sampled_CD226_104_S104_L002_R1_001.fastq	178	unique barcodes
M13U052_9hm_2024524_CD33n_InVivo_NA_CD226_sampled_CD226_106_S106_L002_R1_001.fastq	738	unique barcodes
M13U052_9hm_2024524_CD33p_InVivo_NA_CD226_sampled_CD226_105_S105_L002_R1_001.fastq	1181	unique barcodes
