SAMPLENAME	index	index_type
M14U026_0m_20221021_Lib21Only_infusion_product_NA_CD218_sampled_DA_8140_49_S49_L002_R1_001.fastq	4781	unique barcodes
M14U026_0m_20221021_Lib21_BE_infusion_product_NA_CD218_sampled_DA_8140_50_S50_L002_R1_001.fastq	2894	unique barcodes
M14U026_12m_20231017_B_PB__CD227_sampled_CD227_37_S53_L002_R1_001.fastq	1807	unique barcodes
M14U026_12m_20231017_CD16_PB__CD227_sampled_CD227_39_S55_L002_R1_001.fastq	1112	unique barcodes
M14U026_12m_20231017_DN_PB__CD227_sampled_CD227_41_S57_L002_R1_001.fastq	927	unique barcodes
M14U026_12m_20231017_Mono_PB__CD227_sampled_CD227_38_S54_L002_R1_001.fastq	1695	unique barcodes
M14U026_12m_20231017_NKG2A_PB__CD227_sampled_CD227_40_S56_L002_R1_001.fastq	569	unique barcodes
M14U026_12m_20231017_T_PB__CD227_sampled_CD227_36_S52_L002_R1_001.fastq	1426	unique barcodes
M14U026_15m_2024112_B_PB_NA_RH10320_sampled_RH_10320_2_S2_L001_R1_001.fastq	1610	unique barcodes
M14U026_15m_2024112_CD16_PB_NA_RH10320_sampled_RH_10320_5_S5_L001_R1_001.fastq	504	unique barcodes
M14U026_15m_2024112_Mono_PB_NA_RH10320_sampled_RH_10320_3_S3_L001_R1_001.fastq	1624	unique barcodes
M14U026_15m_2024112_NK_DN_PB_NA_RH10320_sampled_RH_10320_6_S6_L001_R1_001.fastq	824	unique barcodes
M14U026_15m_2024112_NKG2A_PB_NA_RH10320_sampled_RH_10320_4_S4_L001_R1_001.fastq	353	unique barcodes
M14U026_15m_2024112_T_PB_NA_RH10320_sampled_RH_10320_1_S1_L001_R1_001.fastq	1408	unique barcodes
M14U026_1m_20221121_B_PB_NA_CD218_sampled_DA_8140_52_S52_L002_R1_001.fastq	1386	unique barcodes
M14U026_1m_20221121_CD16p_PB_NA_CD218_sampled_DA_8140_53_S53_L002_R1_001.fastq	1071	unique barcodes
M14U026_1m_20221121_CD56p_PB_NA_CD218_sampled_DA_8140_59_S59_L002_R1_001.fastq	737	unique barcodes
M14U026_1m_20221121_DN_PB_NA_CD218_sampled_DA_8140_55_S55_L002_R1_001.fastq	697	unique barcodes
M14U026_1m_20221121_Gr_PB_NA_CD218_sampled_DA_8140_58_S58_L002_R1_001.fastq	1600	unique barcodes
M14U026_1m_20221121_Gr_CD33neg_PB_NA_CD218_sampled_DA_8140_60_S60_L002_R1_001.fastq	783	unique barcodes
M14U026_1m_20221121_Mono_PB_NA_CD218_sampled_DA_8140_54_S54_L002_R1_001.fastq	539	unique barcodes
M14U026_1m_20221121_NKG2Ap_PB_NA_CD218_sampled_DA_8140_56_S56_L002_R1_001.fastq	3155	unique barcodes
M14U026_1m_20221121_T_2_PB_NA_CD218_sampled_DA_8140_51_S51_L002_R1_001.fastq	1077	unique barcodes
M14U026_20m_2024620_B_PB_NA_RH10320_sampled_RH_10320_8_S8_L001_R1_001.fastq	1536	unique barcodes
M14U026_20m_2024620_CD16_PB_NA_RH10320_sampled_RH_10320_11_S11_L001_R1_001.fastq	265	unique barcodes
M14U026_20m_2024620_Mono_PB_NA_RH10320_sampled_RH_10320_9_S9_L001_R1_001.fastq	1564	unique barcodes
M14U026_20m_2024620_NK_DN_PB_NA_RH10320_sampled_RH_10320_12_S12_L001_R1_001.fastq	821	unique barcodes
M14U026_20m_2024620_NKG2A_PB_NA_RH10320_sampled_RH_10320_10_S10_L001_R1_001.fastq	563	unique barcodes
M14U026_20m_2024620_T_PB_NA_RH10320_sampled_RH_10320_7_S7_L001_R1_001.fastq	1336	unique barcodes
M14U026_27m_2025131_B_PB_NA_RH10320_sampled_RH_10320_14_S14_L001_R1_001.fastq	1455	unique barcodes
M14U026_27m_2025131_CD16_PB_NA_RH10320_sampled_RH_10320_16_S16_L001_R1_001.fastq	611	unique barcodes
M14U026_27m_2025131_CD56_PB_NA_RH10320_sampled_RH_10320_17_S17_L001_R1_001.fastq	90	unique barcodes
M14U026_27m_2025131_Gr_PB_NA_RH10320_sampled_RH_10320_32_S32_L001_R1_001.fastq	1640	unique barcodes
M14U026_27m_2025131_Mono_PB_NA_RH10320_sampled_RH_10320_15_S15_L001_R1_001.fastq	1557	unique barcodes
M14U026_27m_2025131_NK_DN_PB_NA_RH10320_sampled_RH_10320_18_S18_L001_R1_001.fastq	942	unique barcodes
M14U026_27m_2025131_NKG2A_PB_NA_RH10320_sampled_RH_10320_19_S19_L001_R1_001.fastq	745	unique barcodes
M14U026_27m_2025131_T_PB_NA_RH10320_sampled_RH_10320_13_S13_L001_R1_001.fastq	1065	unique barcodes
M14U026_2hm_2023124_B_PB_NA_CD220_sampled_new12bp_i539_S39_R1_001.fastq	2104	unique barcodes
M14U026_2hm_2023124_CD16p_PB_NA_CD220_sampled_new12bp_i542_S42_R1_001.fastq	1196	unique barcodes
M14U026_2hm_2023124_CD56p_PB_NA_CD220_sampled_new12bp_i543_S43_R1_001.fastq	340	unique barcodes
M14U026_2hm_2023124_DN_PB_NA_CD220_sampled_new12bp_i544_S44_R1_001.fastq	537	unique barcodes
M14U026_2hm_2023124_Mono_PB_NA_CD220_sampled_new12bp_i540_S40_R1_001.fastq	2444	unique barcodes
M14U026_2hm_2023124_NKG2A_PB_NA_CD220_sampled_new12bp_i541_S41_R1_001.fastq	615	unique barcodes
M14U026_2hm_2023124_T_PB_NA_CD220_sampled_new12bp_i538_S38_R1_001.fastq	335	unique barcodes
M14U026_3hm_2023131_B_1_PB_tube1_CD220_sampled_new12bp_i516_S16_R1_001.fastq	979	unique barcodes
M14U026_3hm_2023131_B_2_PB_tube2_CD220_sampled_new12bp_i518_S18_R1_001.fastq	2601	unique barcodes
M14U026_3hm_2023131_CD16p_PB_NA_CD220_sampled_new12bp_i521_S21_R1_001.fastq	139	unique barcodes
M14U026_3hm_2023131_CD56p_PB_NA_CD220_sampled_new12bp_i522_S22_R1_001.fastq	16	unique barcodes
M14U026_3hm_2023131_DN_PB_NA_CD220_sampled_new12bp_i523_S23_R1_001.fastq	1257	unique barcodes
M14U026_3hm_2023131_GRAN_PB_NA_CD221_sampled_old12bp_40_S103_R1_001.fastq	2988	unique barcodes
M14U026_3hm_2023131_Gr_PB_NA_CD220_sampled_new12bp_i552_S52_R1_001.fastq	2480	unique barcodes
M14U026_3hm_2023131_LBM_CD34p_LBM_NA_CD220_sampled_new12bp_i553_S53_R1_001.fastq	1425	unique barcodes
M14U026_3hm_2023131_LBM_Gr_LBM_NA_CD220_sampled_new12bp_i555_S55_R1_001.fastq	976	unique barcodes
M14U026_3hm_2023131_Mono_PB_NA_CD220_sampled_new12bp_i519_S19_R1_001.fastq	2348	unique barcodes
M14U026_3hm_2023131_NKG2A_PB_NA_CD220_sampled_new12bp_i520_S20_R1_001.fastq	431	unique barcodes
M14U026_3hm_2023131_RBM_CD34p_RBM_NA_CD220_sampled_new12bp_i554_S54_R1_001.fastq	938	unique barcodes
M14U026_3hm_2023131_RBM_Gr_RBM_NA_CD220_sampled_new12bp_i556_S56_R1_001.fastq	897	unique barcodes
M14U026_3hm_2023131_T_1_PB_tube1_CD220_sampled_new12bp_i515_S15_R1_001.fastq	1767	unique barcodes
M14U026_3hm_2023131_T_2_PB_tube2_CD220_sampled_new12bp_i517_S17_R1_001.fastq	2356	unique barcodes
M14U026_5m_2023327_B_PB_NA_CD221_sampled_old12bp_26_S93_R1_001.fastq	2335	unique barcodes
M14U026_5m_2023327_CD16_PB_NA_CD221_sampled_old12bp_1_S70_R1_001.fastq	1437	unique barcodes
M14U026_5m_2023327_CD56_PB_NA_CD221_sampled_old12bp_2_S71_R1_001.fastq	1269	unique barcodes
M14U026_5m_2023327_DN_PB_NA_CD221_sampled_old12bp_3_S72_R1_001.fastq	1717	unique barcodes
M14U026_5m_2023327_GRAN_PB_NA_CD221_sampled_old12bp_31_S95_R1_001.fastq	2270	unique barcodes
M14U026_5m_2023327_MONO_PB_NA_CD221_sampled_old12bp_28_S94_R1_001.fastq	1944	unique barcodes
M14U026_5m_2023327_NKG2A_PB_NA_CD221_sampled_new12bp_70_S69_R1_001.fastq	892	unique barcodes
M14U026_5m_2023327_T_PB_NA_CD221_sampled_old12bp_25_S92_R1_001.fastq	1497	unique barcodes
M14U026_NA_20221031_B_1_invitro_NA_CD218_sampled_DA_8140_40_S40_L002_R1_001.fastq	9858	unique barcodes
M14U026_NA_20221031_Lib19Only_invitro_NA_CD218_sampled_DA_8140_2_S2_L002_R1_001.fastq	5	unique barcodes
M14U026_NA_20221031_Lib21Only_invitro_NA_CD218_sampled_DA_8140_3_S3_L002_R1_001.fastq	10762	unique barcodes
M14U026_NA_20221031_Lib21_BE_invitro_NA_CD218_sampled_DA_8140_4_S4_L002_R1_001.fastq	8018	unique barcodes
M14U026_NA_20221031_WildType_invitro_NA_CD218_sampled_DA_8140_1_S1_L002_R1_001.fastq	1209	unique barcodes
M14U026_NA_20221031_WildType_invitro_NA_CD218_sampled_DA_8140_30_S30_L002_R1_001.fastq	1538	unique barcodes
